Month,Anomaly
2000-01,0.48
2000-02,1.07
2000-03,1.15
2000-04,1.22
2000-05,0.59
2000-06,0.55
2000-07,0.61
2000-08,0.73
2000-09,0.59
2000-10,0.3
2000-11,0.34
2000-12,0.2
2001-01,0.62
2001-02,0.67
2001-03,0.85
2001-04,0.79
2001-05,0.84
2001-06,0.69
2001-07,0.92
2001-08,0.51
2001-09,0.82
2001-10,0.45
2001-11,1.27
2001-12,1.02
2002-01,1.18
2002-02,1.2
2002-03,1.59
2002-04,0.68
2002-05,1.04
2002-06,0.6
2002-07,0.83
2002-08,0.71
2002-09,1.09
2002-10,0.81
2002-11,1.04
2002-12,0.56
2003-01,1.24
2003-02,0.8
2003-03,0.84
2003-04,0.9
2003-05,1
2003-06,0.61
2003-07,0.78
2003-08,0.68
2003-09,0.89
2003-10,1.25
2003-11,0.71
2003-12,1.37
2004-01,0.78
2004-02,0.95
2004-03,1.01
2004-04,0.95
2004-05,0.4
2004-06,0.55
2004-07,0
2004-08,0.31
2004-09,0.57
2004-10,0.83
2004-11,1.22
2004-12,0.57
2005-01,1.34
2005-02,0.98
2005-03,1.35
2005-04,1.16
2005-05,1.09
2005-06,0.98
2005-07,0.92
2005-08,0.71
2005-09,1.22
2005-10,1.38
2005-11,1.57
2005-12,1.48
2006-01,1.08
2006-02,1.62
2006-03,1.21
2006-04,0.68
2006-05,0.6
2006-06,0.99
2006-07,0.67
2006-08,1.18
2006-09,1.05
2006-10,1.09
2006-11,1.14
2006-12,1.37
2007-01,1.86
2007-02,1.23
2007-03,1.28
2007-04,1.67
2007-05,1.17
2007-06,0.83
2007-07,0.95
2007-08,1
2007-09,1.09
2007-10,1.16
2007-11,1.26
2007-12,1.13
2008-01,0.34
2008-02,0.52
2008-03,1.65
2008-04,0.89
2008-05,0.84
2008-06,0.72
2008-07,0.79
2008-08,0.48
2008-09,0.96
2008-10,1.25
2008-11,1.4
2008-12,0.95
2009-01,1.24
2009-02,0.8
2009-03,0.81
2009-04,0.9
2009-05,0.84
2009-06,0.66
2009-07,0.94
2009-08,0.92
2009-09,1.18
2009-10,1.01
2009-11,1.38
2009-12,0.87
2010-01,1.04
2010-02,1.25
2010-03,1.55
2010-04,1.53
2010-05,1.22
2010-06,0.99
2010-07,0.88
2010-08,0.96
2010-09,0.91
2010-10,1.26
2010-11,1.7
2010-12,0.83
2011-01,0.93
2011-02,0.78
2011-03,1.27
2011-04,1.19
2011-05,0.81
2011-06,0.96
2011-07,1.28
2011-08,1.26
2011-09,1.02
2011-10,1.44
2011-11,1.07
2011-12,1.22
2012-01,0.77
2012-02,0.89
2012-03,0.93
2012-04,1.46
2012-05,1.34
2012-06,1.06
2012-07,0.88
2012-08,0.87
2012-09,1.2
2012-10,1.35
2012-11,1.44
2012-12,0.66
2013-01,1.24
2013-02,0.97
2013-03,1.1
2013-04,0.72
2013-05,1.02
2013-06,1.03
2013-07,0.7
2013-08,0.95
2013-09,1.25
2013-10,1.03
2013-11,1.44
2013-12,1.25
2014-01,1.27
2014-02,0.71
2014-03,1.53
2014-04,1.42
2014-05,1.4
2014-06,0.83
2014-07,0.54
2014-08,1.15
2014-09,1.27
2014-10,1.23
2014-11,0.88
2014-12,1.24
2015-01,1.34
2015-02,1.64
2015-03,1.76
2015-04,1.15
2015-05,1.08
2015-06,1.17
2015-07,0.83
2015-08,0.98
2015-09,1.14
2015-10,1.7
2015-11,1.59
2015-12,1.8
2016-01,2.01
2016-02,2.51
2016-03,2.5
2016-04,1.94
2016-05,1.51
2016-06,0.98
2016-07,1.06
2016-08,1.43
2016-09,1.37
2016-10,1.3
2016-11,1.67
2016-12,1.53
2017-01,1.83
2017-02,1.98
2017-03,2.17
2017-04,1.56
2017-05,1.36
2017-06,0.92
2017-07,1.01
2017-08,1.21
2017-09,1.17
2017-10,1.48
2017-11,1.56
2017-12,1.92
2018-01,1.4
2018-02,1.63
2018-03,1.64
2018-04,1.45
2018-05,1.17
2018-06,1.02
2018-07,1.12
2018-08,0.97
2018-09,1.1
2018-10,1.78
2018-11,1.13
2018-12,1.42
2019-01,1.44
2019-02,1.39
2019-03,2.16
2019-04,1.69
2019-05,1.31
2019-06,1.19
2019-07,1.19
2019-08,1.21
2019-09,1.49
2019-10,1.65
2019-11,1.56
2019-12,1.87
2020-01,1.88
2020-02,2.16
2020-03,1.95
2020-04,1.88
2020-05,1.52
2020-06,1.3
2020-07,1.24
2020-08,1.23
2020-09,1.62
2020-10,1.51
2020-11,2.05
2020-12,1.48
2021-01,1.47
2021-02,0.9
2021-03,1.56
2021-04,1.24
2021-05,1.24
2021-06,1.28
2021-07,1.38
2021-08,1.18
2021-09,1.44
2021-10,1.73
2021-11,1.6
2021-12,1.43
2022-01,1.53
2022-02,1.53
2022-03,2.13
2022-04,1.5
2022-05,1.35
2022-06,1.3
2022-07,1.34
2022-08,1.38
2022-09,1.32
2022-10,1.64
2022-11,0.96
2022-12,1.22
2023-01,1.39
2023-02,1.74
2023-03,2.18
2023-04,1.24
2023-05,1.19
2023-06,1.38
2023-07,1.42
2023-08,1.67
2023-09,2.34
2023-10,2.14
2023-11,2.45
2023-12,2.35
