Month,Anomaly
2000-01,0.34
2000-02,0.57
2000-03,0.59
2000-04,0.62
2000-05,0.39
2000-06,0.37
2000-07,0.41
2000-08,0.47
2000-09,0.44
2000-10,0.34
2000-11,0.33
2000-12,0.3
2001-01,0.44
2001-02,0.46
2001-03,0.57
2001-04,0.56
2001-05,0.58
2001-06,0.55
2001-07,0.63
2001-08,0.48
2001-09,0.57
2001-10,0.47
2001-11,0.71
2001-12,0.63
2002-01,0.68
2002-02,0.7
2002-03,0.86
2002-04,0.56
2002-05,0.67
2002-06,0.54
2002-07,0.59
2002-08,0.52
2002-09,0.66
2002-10,0.57
2002-11,0.63
2002-12,0.51
2003-01,0.71
2003-02,0.57
2003-03,0.61
2003-04,0.6
2003-05,0.64
2003-06,0.53
2003-07,0.6
2003-08,0.59
2003-09,0.66
2003-10,0.77
2003-11,0.57
2003-12,0.76
2004-01,0.58
2004-02,0.67
2004-03,0.66
2004-04,0.65
2004-05,0.42
2004-06,0.47
2004-07,0.32
2004-08,0.44
2004-09,0.52
2004-10,0.61
2004-11,0.72
2004-12,0.5
2005-01,0.74
2005-02,0.62
2005-03,0.76
2005-04,0.7
2005-05,0.7
2005-06,0.67
2005-07,0.66
2005-08,0.59
2005-09,0.73
2005-10,0.75
2005-11,0.78
2005-12,0.74
2006-01,0.63
2006-02,0.81
2006-03,0.67
2006-04,0.52
2006-05,0.52
2006-06,0.66
2006-07,0.56
2006-08,0.73
2006-09,0.69
2006-10,0.68
2006-11,0.72
2006-12,0.78
2007-01,0.93
2007-02,0.73
2007-03,0.69
2007-04,0.81
2007-05,0.65
2007-06,0.57
2007-07,0.59
2007-08,0.58
2007-09,0.61
2007-10,0.6
2007-11,0.58
2007-12,0.52
2008-01,0.29
2008-02,0.35
2008-03,0.74
2008-04,0.52
2008-05,0.52
2008-06,0.52
2008-07,0.56
2008-08,0.48
2008-09,0.62
2008-10,0.69
2008-11,0.71
2008-12,0.57
2009-01,0.66
2009-02,0.52
2009-03,0.54
2009-04,0.59
2009-05,0.61
2009-06,0.63
2009-07,0.72
2009-08,0.71
2009-09,0.73
2009-10,0.69
2009-11,0.82
2009-12,0.7
2010-01,0.74
2010-02,0.83
2010-03,0.9
2010-04,0.89
2010-05,0.78
2010-06,0.7
2010-07,0.66
2010-08,0.66
2010-09,0.62
2010-10,0.67
2010-11,0.79
2010-12,0.52
2011-01,0.55
2011-02,0.51
2011-03,0.67
2011-04,0.65
2011-05,0.55
2011-06,0.63
2011-07,0.72
2011-08,0.7
2011-09,0.6
2011-10,0.71
2011-11,0.6
2011-12,0.61
2012-01,0.48
2012-02,0.54
2012-03,0.55
2012-04,0.75
2012-05,0.76
2012-06,0.67
2012-07,0.64
2012-08,0.65
2012-09,0.76
2012-10,0.79
2012-11,0.8
2012-12,0.55
2013-01,0.7
2013-02,0.62
2013-03,0.68
2013-04,0.57
2013-05,0.67
2013-06,0.67
2013-07,0.61
2013-08,0.7
2013-09,0.77
2013-10,0.68
2013-11,0.81
2013-12,0.72
2014-01,0.74
2014-02,0.57
2014-03,0.82
2014-04,0.85
2014-05,0.87
2014-06,0.72
2014-07,0.62
2014-08,0.83
2014-09,0.87
2014-10,0.82
2014-11,0.68
2014-12,0.79
2015-01,0.82
2015-02,0.9
2015-03,0.97
2015-04,0.81
2015-05,0.83
2015-06,0.87
2015-07,0.77
2015-08,0.83
2015-09,0.91
2015-10,1.1
2015-11,1.06
2015-12,1.13
2016-01,1.23
2016-02,1.34
2016-03,1.35
2016-04,1.15
2016-05,1
2016-06,0.84
2016-07,0.86
2016-08,0.97
2016-09,0.92
2016-10,0.88
2016-11,0.94
2016-12,0.91
2017-01,1.06
2017-02,1.12
2017-03,1.18
2017-04,0.99
2017-05,0.92
2017-06,0.77
2017-07,0.83
2017-08,0.89
2017-09,0.83
2017-10,0.92
2017-11,0.91
2017-12,0.99
2018-01,0.83
2018-02,0.9
2018-03,0.93
2018-04,0.9
2018-05,0.81
2018-06,0.76
2018-07,0.8
2018-08,0.76
2018-09,0.82
2018-10,1.05
2018-11,0.84
2018-12,0.94
2019-01,0.92
2019-02,0.92
2019-03,1.16
2019-04,1.03
2019-05,0.91
2019-06,0.91
2019-07,0.92
2019-08,0.92
2019-09,0.97
2019-10,1.01
2019-11,0.99
2019-12,1.1
2020-01,1.14
2020-02,1.2
2020-03,1.16
2020-04,1.14
2020-05,1
2020-06,0.93
2020-07,0.91
2020-08,0.9
2020-09,0.98
2020-10,0.91
2020-11,1.05
2020-12,0.84
2021-01,0.84
2021-02,0.66
2021-03,0.88
2021-04,0.8
2021-05,0.81
2021-06,0.86
2021-07,0.93
2021-08,0.84
2021-09,0.92
2021-10,0.99
2021-11,0.95
2021-12,0.87
2022-01,0.93
2022-02,0.92
2022-03,1.11
2022-04,0.9
2022-05,0.86
2022-06,0.89
2022-07,0.89
2022-08,0.93
2022-09,0.9
2022-10,0.97
2022-11,0.75
2022-12,0.84
2023-01,0.89
2023-02,1.01
2023-03,1.23
2023-04,0.98
2023-05,0.96
2023-06,1.07
2023-07,1.13
2023-08,1.23
2023-09,1.44
2023-10,1.36
2023-11,1.45
2023-12,1.43
