Month,Anomaly
2000-01,0.28
2000-02,0.34
2000-03,0.34
2000-04,0.35
2000-05,0.31
2000-06,0.28
2000-07,0.32
2000-08,0.35
2000-09,0.37
2000-10,0.35
2000-11,0.33
2000-12,0.35
2001-01,0.35
2001-02,0.36
2001-03,0.44
2001-04,0.45
2001-05,0.46
2001-06,0.49
2001-07,0.49
2001-08,0.47
2001-09,0.46
2001-10,0.48
2001-11,0.46
2001-12,0.46
2002-01,0.46
2002-02,0.48
2002-03,0.53
2002-04,0.51
2002-05,0.5
2002-06,0.52
2002-07,0.48
2002-08,0.44
2002-09,0.47
2002-10,0.46
2002-11,0.44
2002-12,0.49
2003-01,0.47
2003-02,0.47
2003-03,0.5
2003-04,0.47
2003-05,0.48
2003-06,0.49
2003-07,0.52
2003-08,0.55
2003-09,0.55
2003-10,0.55
2003-11,0.5
2003-12,0.48
2004-01,0.49
2004-02,0.55
2004-03,0.5
2004-04,0.52
2004-05,0.43
2004-06,0.44
2004-07,0.47
2004-08,0.49
2004-09,0.5
2004-10,0.51
2004-11,0.5
2004-12,0.46
2005-01,0.48
2005-02,0.46
2005-03,0.5
2005-04,0.49
2005-05,0.53
2005-06,0.52
2005-07,0.54
2005-08,0.54
2005-09,0.5
2005-10,0.47
2005-11,0.43
2005-12,0.41
2006-01,0.43
2006-02,0.44
2006-03,0.43
2006-04,0.45
2006-05,0.48
2006-06,0.5
2006-07,0.5
2006-08,0.53
2006-09,0.53
2006-10,0.5
2006-11,0.53
2006-12,0.51
2007-01,0.52
2007-02,0.5
2007-03,0.43
2007-04,0.42
2007-05,0.42
2007-06,0.46
2007-07,0.43
2007-08,0.39
2007-09,0.39
2007-10,0.35
2007-11,0.28
2007-12,0.25
2008-01,0.27
2008-02,0.27
2008-03,0.33
2008-04,0.35
2008-05,0.38
2008-06,0.42
2008-07,0.46
2008-08,0.47
2008-09,0.47
2008-10,0.44
2008-11,0.4
2008-12,0.4
2009-01,0.4
2009-02,0.39
2009-03,0.42
2009-04,0.46
2009-05,0.51
2009-06,0.62
2009-07,0.62
2009-08,0.61
2009-09,0.54
2009-10,0.55
2009-11,0.56
2009-12,0.62
2010-01,0.61
2010-02,0.64
2010-03,0.61
2010-04,0.61
2010-05,0.58
2010-06,0.57
2010-07,0.55
2010-08,0.53
2010-09,0.49
2010-10,0.41
2010-11,0.39
2010-12,0.38
2011-01,0.39
2011-02,0.39
2011-03,0.41
2011-04,0.41
2011-05,0.44
2011-06,0.48
2011-07,0.47
2011-08,0.45
2011-09,0.41
2011-10,0.38
2011-11,0.38
2011-12,0.34
2012-01,0.35
2012-02,0.39
2012-03,0.37
2012-04,0.44
2012-05,0.5
2012-06,0.49
2012-07,0.53
2012-08,0.55
2012-09,0.56
2012-10,0.54
2012-11,0.51
2012-12,0.51
2013-01,0.46
2013-02,0.47
2013-03,0.49
2013-04,0.5
2013-05,0.52
2013-06,0.51
2013-07,0.57
2013-08,0.58
2013-09,0.55
2013-10,0.52
2013-11,0.53
2013-12,0.48
2014-01,0.51
2014-02,0.51
2014-03,0.51
2014-04,0.59
2014-05,0.63
2014-06,0.67
2014-07,0.65
2014-08,0.69
2014-09,0.69
2014-10,0.64
2014-11,0.59
2014-12,0.59
2015-01,0.59
2015-02,0.57
2015-03,0.61
2015-04,0.66
2015-05,0.72
2015-06,0.74
2015-07,0.74
2015-08,0.76
2015-09,0.8
2015-10,0.83
2015-11,0.82
2015-12,0.83
2016-01,0.88
2016-02,0.81
2016-03,0.83
2016-04,0.79
2016-05,0.77
2016-06,0.78
2016-07,0.77
2016-08,0.76
2016-09,0.72
2016-10,0.7
2016-11,0.61
2016-12,0.63
2017-01,0.71
2017-02,0.73
2017-03,0.74
2017-04,0.73
2017-05,0.72
2017-06,0.71
2017-07,0.75
2017-08,0.75
2017-09,0.68
2017-10,0.66
2017-11,0.62
2017-12,0.57
2018-01,0.57
2018-02,0.57
2018-03,0.62
2018-04,0.65
2018-05,0.66
2018-06,0.64
2018-07,0.66
2018-08,0.67
2018-09,0.69
2018-10,0.73
2018-11,0.71
2018-12,0.72
2019-01,0.68
2019-02,0.71
2019-03,0.72
2019-04,0.73
2019-05,0.73
2019-06,0.79
2019-07,0.8
2019-08,0.79
2019-09,0.73
2019-10,0.72
2019-11,0.74
2019-12,0.76
2020-01,0.8
2020-02,0.78
2020-03,0.81
2020-04,0.81
2020-05,0.76
2020-06,0.76
2020-07,0.76
2020-08,0.75
2020-09,0.69
2020-10,0.64
2020-11,0.61
2020-12,0.55
2021-01,0.55
2021-02,0.55
2021-03,0.57
2021-04,0.6
2021-05,0.62
2021-06,0.67
2021-07,0.72
2021-08,0.68
2021-09,0.68
2021-10,0.67
2021-11,0.66
2021-12,0.62
2022-01,0.66
2022-02,0.64
2022-03,0.65
2022-04,0.63
2022-05,0.64
2022-06,0.71
2022-07,0.69
2022-08,0.73
2022-09,0.71
2022-10,0.66
2022-11,0.66
2022-12,0.67
2023-01,0.66
2023-02,0.68
2023-03,0.8
2023-04,0.86
2023-05,0.85
2023-06,0.93
2023-07,1.01
2023-08,1.03
2023-09,1.04
2023-10,1.02
2023-11,1
2023-12,1.01
